date,day_of_week,weather,water_temp_raw,water_temp_avg,wave_height_raw,wave_height_m,next_day_status,spot,angler,species_raw,species,count,size_min_cm,size_max_cm,tackle,bait,detail_url
2026-04-12,日,晴れ,17.4℃,17.4,1.5m,1.5,明日も出船します☆,灘の赤島,df7b785e,イガミ7匹30cm〜38cm,イガミ,7,30.0,38.0,ウキ釣り,海藻,
2026-04-08,水,晴れ,18.3℃,18.3,1.5m,1.5,明日も出船します☆,沖の長島,e77a153d,尾長グレ5匹33cm〜36cm,グレ,5,33.0,36.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/4%e6%9c%888%e6%97%a5%e6%b0%b4%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-04-03,金,晴れ,朝イチ16.1℃昼から16.7℃,16.4,1.5m,1.5,明日は悪天候の為休船します。,双子の親,3c8deae4,グレ3匹32cm〜38cm,グレ,3,32.0,38.0,フカセ,オキアミ,
