date,day_of_week,weather,water_temp_raw,water_temp_avg,wave_height_raw,wave_height_m,next_day_status,spot,angler,species_raw,species,count,size_min_cm,size_max_cm,tackle,bait,detail_url
2026-03-12,木,晴れ,双子周辺16.2℃/アシカ周辺16.8℃,16.5,2mうねり有り,2.0,明日波が高くなる予報の為休船します。,アシカのチョボ,5da3092d,串本11匹32cm〜40.2cm,グレ,11,32.0,40.2,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8812%e6%97%a5%e6%9c%a8%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-03-12,木,晴れ,双子周辺16.2℃/アシカ周辺16.8℃,16.5,2mうねり有り,2.0,明日波が高くなる予報の為休船します。,アシカ,00540a26,グレ5匹37.7cm38.5cm40.6cm41.5cm41.8cm,グレ,5,37.7,37.7,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8812%e6%97%a5%e6%9c%a8%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-03-12,木,晴れ,双子周辺16.2℃/アシカ周辺16.8℃,16.5,2mうねり有り,2.0,明日波が高くなる予報の為休船します。,沖の長島,99fc02e2,グレ4匹33cm〜40cm,グレ,4,33.0,40.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8812%e6%97%a5%e6%9c%a8%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-03-12,木,晴れ,双子周辺16.2℃/アシカ周辺16.8℃,16.5,2mうねり有り,2.0,明日波が高くなる予報の為休船します。,双子の子,4d387bf1,グレ8匹33cm〜39.2cm,グレ,8,33.0,39.2,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8812%e6%97%a5%e6%9c%a8%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-03-10,火,晴れ,双子周辺16℃/アシカ周辺16.4℃,16.2,1.5m,1.5,明日も出船します☆,沖の長島,f30ea4c2,グレ8匹30cm〜40.5cm,グレ,8,30.0,40.5,フカセ,オキアミ,
2026-03-10,火,晴れ,双子周辺16℃/アシカ周辺16.4℃,16.2,1.5m,1.5,明日も出船します☆,武八,0c7bcebc,グレ2匹30cm前後,グレ,2,30.0,30.0,フカセ,オキアミ,
2026-03-10,火,晴れ,双子周辺16℃/アシカ周辺16.4℃,16.2,1.5m,1.5,明日も出船します☆,アシカのチョボ,e5ed1525,グレ2匹33cm〜35cm,グレ,2,33.0,35.0,フカセ,オキアミ,
2026-03-10,火,晴れ,双子周辺16℃/アシカ周辺16.4℃,16.2,1.5m,1.5,明日も出船します☆,双子の子,3c8deae4,グレ2匹33cm〜36cm,グレ,2,33.0,36.0,フカセ,オキアミ,
