date,day_of_week,weather,water_temp_raw,water_temp_avg,wave_height_raw,wave_height_m,next_day_status,spot,angler,species_raw,species,count,size_min_cm,size_max_cm,tackle,bait,detail_url
2025-11-24,金,晴れ,21.3度,21.3,2mウネリ有り〜1.5mウネリ有り,2.0,明日も出船します☆,チョナ,0bed5146,グレ19匹29cm〜42.4cm,グレ,19.0,29.0,42.4,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%8824%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-24,金,晴れ,21.3度,21.3,2mウネリ有り〜1.5mウネリ有り,2.0,明日も出船します☆,大サバ,b4ddad7a,尾長グレ8匹28cm〜35cm,グレ,8.0,28.0,35.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%8824%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-24,金,晴れ,21.3度,21.3,2mウネリ有り〜1.5mウネリ有り,2.0,明日も出船します☆,武八,75025170,グレ6匹30cm前後,グレ,6.0,30.0,30.0,,,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%8824%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-24,金,晴れ,21.3度,21.3,2mウネリ有り〜1.5mウネリ有り,2.0,明日も出船します☆,コレバイ,3fb4e6bc,グレ4匹30cm〜33cm,グレ,4.0,30.0,33.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%8824%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-23,木,晴れ,21.3度,21.3,1.5m〜2mウネリ有り,1.5,明日も出船します☆,双子の親,00540a26,グレ4匹32cm〜35cm,グレ,4.0,32.0,35.0,フカセ,オキアミ,
2025-11-23,木,晴れ,21.3度,21.3,1.5m〜2mウネリ有り,1.5,明日も出船します☆,八丈,e2633db6,イガミ8匹32cm〜41cm,イガミ,8.0,32.0,41.0,ウキ釣り,海藻,
2025-11-23,木,晴れ,21.3度,21.3,1.5m〜2mウネリ有り,1.5,明日も出船します☆,カナトコ,ccd3881f,グレ14匹31cm〜42cm,グレ,14.0,31.0,42.0,フカセ,オキアミ,
2025-11-23,木,晴れ,21.3度,21.3,1.5m〜2mウネリ有り,1.5,明日も出船します☆,湾内磯,a473d6d5,イガミ20匹27cm〜45cm,イガミ,20.0,27.0,45.0,ウキ釣り,海藻,
2025-11-22,水,晴れ,21.1度,21.1,1.5mウネリ有り,1.5,明日も出船します☆,武八,fb1586a2,グレ16匹28cm〜34cm,グレ,16.0,28.0,34.0,フカセ,オキアミ,
2025-11-22,水,晴れ,21.1度,21.1,1.5mウネリ有り,1.5,明日も出船します☆,カナトコ,e5ed1525,グレ8匹30cm前後,グレ,8.0,30.0,30.0,フカセ,オキアミ,
2025-11-22,水,晴れ,21.1度,21.1,1.5mウネリ有り,1.5,明日も出船します☆,アシカ,17fc1fd3,グレ7匹28cm〜33cm,グレ,7.0,28.0,33.0,フカセ,オキアミ,
2025-11-19,日,晴れ,21.4度,21.4,1.5m,1.5,明日も出船します☆,沖の赤島,2dd755e8,グレ3匹32cm〜48.5cm,グレ,3.0,32.0,48.5,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%8819%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-19,日,晴れ,21.4度,21.4,1.5m,1.5,明日も出船します☆,赤島の壁,438deac4,グレ4匹33cm〜37cm,グレ,4.0,33.0,37.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%8819%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-19,日,晴れ,21.4度,21.4,1.5m,1.5,明日も出船します☆,赤島の三角,00540a26,グレ6匹30cm〜35cm,グレ,6.0,30.0,35.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%8819%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-19,日,晴れ,21.4度,21.4,1.5m,1.5,明日も出船します☆,,,,,,,,,,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%8819%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-13,月,晴れ,22.3度,22.3,1.5m,1.5,明日も出船します☆,沖のカンゴメ,b3cec01a,グレ9匹28cm〜36cm,グレ,9.0,28.0,36.0,フカセ,オキアミ,
2025-11-12,日,晴れ,23度,23.0,1.5m〜2.5m,1.5,明日も出船します☆,武八〜赤島の三角,3df8279e,グレ6匹30cm前後,グレ,6.0,30.0,30.0,フカセ,オキアミ,
2025-11-12,日,晴れ,23度,23.0,1.5m〜2.5m,1.5,明日も出船します☆,チョナ,00540a26,グレ3匹32cm〜35cm,グレ,3.0,32.0,35.0,フカセ,オキアミ,
2025-11-12,日,晴れ,23度,23.0,1.5m〜2.5m,1.5,明日も出船します☆,フク島,b14dd83d,イガミ13匹27cm〜40cm,イガミ,13.0,27.0,40.0,ウキ釣り,海藻,
2025-11-12,日,晴れ,23度,23.0,1.5m〜2.5m,1.5,明日も出船します☆,内海,880f8085,イガミ9匹30cm〜38cm,イガミ,9.0,30.0,38.0,ウキ釣り,海藻,
2025-11-12,日,晴れ,23度,23.0,1.5m〜2.5m,1.5,明日も出船します☆,湾内磯,8965f41a,イガミ6匹30cm〜37cm,イガミ,6.0,30.0,37.0,ウキ釣り,海藻,
2025-11-09,木,晴れ,23.3度,23.3,1.5m〜2mウネリ有り,1.5,明日は悪天候の為休船します。,湾内磯,05a03949,イガミ9匹32cm〜40cm,イガミ,9.0,32.0,40.0,ウキ釣り,海藻,
2025-11-03,金,晴れ,23度,23.0,1.5m,1.5,明日も出船します☆,赤島の三角,438deac4,尾長グレ3匹31cm〜36cm,グレ,3.0,31.0,36.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%883%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-03,金,晴れ,23度,23.0,1.5m,1.5,明日も出船します☆,シオフキ,00540a26,グレ2匹32cm〜34cm,グレ,2.0,32.0,34.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%883%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-03,金,晴れ,23度,23.0,1.5m,1.5,明日も出船します☆,湾内磯,df7b785e,イガミ9匹,イガミ,9.0,,,ウキ釣り,海藻,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%883%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-03,金,晴れ,23度,23.0,1.5m,1.5,明日も出船します☆,湾内磯,880f8085,イガミ8匹,イガミ,8.0,,,ウキ釣り,海藻,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%883%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-11-03,金,晴れ,23度,23.0,1.5m,1.5,明日も出船します☆,助八,5f184709,石垣鯛3匹33cm〜36cm,石垣鯛,3.0,33.0,36.0,底物,ウニ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/11%e6%9c%883%e6%97%a5%e9%87%91%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-10-31,火,晴れ,23.6度,23.6,1.5m,1.5,明日も出船します☆,チョナのチョボ,ed3f0037,イガミ8匹27cm〜43cm,イガミ,8.0,27.0,43.0,ウキ釣り,海藻,
2025-10-29,日,晴れ,23.6度,23.6,1.5m,1.5,明日も出船します☆,シオフキ,1d2eab74,グレ4匹30cm〜39cm,グレ,4.0,30.0,39.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%8829%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-10-29,日,晴れ,23.6度,23.6,1.5m,1.5,明日も出船します☆,カナトコ,41e69dc4,グレ7匹30cm〜37cm,グレ,7.0,30.0,37.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%8829%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-10-29,日,晴れ,23.6度,23.6,1.5m,1.5,明日も出船します☆,湾内磯,df7b785e,イガミ18匹28cm〜43cm,イガミ,18.0,28.0,43.0,ウキ釣り,海藻,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%8829%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2025-10-29,日,晴れ,23.6度,23.6,1.5m,1.5,明日も出船します☆,フク島,43a7fa2b,イガミ11匹27cm〜42cm,イガミ,11.0,27.0,42.0,ウキ釣り,海藻,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/10%e6%9c%8829%e6%97%a5%e6%97%a5%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
