date,day_of_week,weather,water_temp_raw,water_temp_avg,wave_height_raw,wave_height_m,next_day_status,spot,angler,species_raw,species,count,size_min_cm,size_max_cm,tackle,bait,detail_url
2026-03-16,月,晴れ,16.4℃,16.4,2.5mウネリ有り,2.5,明日も出船しますが湾内磯メインになりそうです。,コレバイ,efcd9abd,グレ1匹38cm,グレ,1,38.0,38.0,フカセ,オキアミ,
2026-03-17,火,晴れ,16.2℃,16.2,2mウネリ有り,2.0,明日も出船します☆,湾内磯,9c6ea9c1,グレ5匹34cm〜40.3cm,グレ,5,34.0,40.3,フカセ,オキアミ,None
2026-03-17,火,晴れ,16.2℃,16.2,2mウネリ有り,2.0,明日も出船します☆,湾内磯,554c01b5,真鯛1匹47cm,真鯛,1,47.0,47.0,フカセ,オキアミ,None
