date,day_of_week,weather,water_temp_raw,water_temp_avg,wave_height_raw,wave_height_m,next_day_status,spot,angler,species_raw,species,count,size_min_cm,size_max_cm,tackle,bait,detail_url
2026-03-30,月,晴れ,17.3℃,17.3,1.5mウネリ有り,1.5,明日悪天候の為休船します。,コレバイ,00540a26,グレ1匹35.5cm,グレ,1,35.5,35.5,フカセ,オキアミ,
2026-03-30,月,晴れ,17.3℃,17.3,1.5mウネリ有り,1.5,明日悪天候の為休船します。,地のカンゴメ,5c2d2252,グレ2匹30cm〜32cm,グレ,2,30.0,32.0,フカセ,オキアミ,
2026-03-29,日,晴れ,双子周辺17.4℃,17.4,2m,2.0,明日も出船します☆,双子の親,22e0c765,グレ2匹42.3cm 42.5cm,グレ,2,42.3,42.3,グレ7匹33cm〜39.4cm,フカセ　ハリス1.5号　針4号,
2026-03-28,土,晴れ,双子周辺18.7℃/アシカ周辺19℃,18.85,2mウネリ有り,2.0,明日も出船します☆,コレバイ,75025170,グレ4匹30cm〜34cm,グレ,4,30.0,34.0,フカセハリス1.5号針4.5号,オキアミ,
2026-03-28,土,晴れ,双子周辺18.7℃/アシカ周辺19℃,18.85,2mウネリ有り,2.0,明日も出船します☆,地のカンゴメ,3c8deae4,グレ3匹32cm〜33cm,グレ,3,32.0,33.0,フカセ,オキアミ,
2026-03-24,火,晴れ,双子周辺19℃/アシカ周辺19.9℃,19.45,1.5m,1.5,明日悪天候の為休船します。,沖の長島,8972fafb,尾長グレ8匹32cm〜42.8cm,グレ,8,32.0,42.8,口太グレ2匹38cm〜39.5cm,フカセ　ハリス2.5号針7号,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8824%e6%97%a5%e7%81%ab%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-03-24,火,晴れ,双子周辺19℃/アシカ周辺19.9℃,19.45,1.5m,1.5,明日悪天候の為休船します。,アシカのチョボ,3fb4e6bc,グレ6匹30cm〜37cm,グレ,6,30.0,37.0,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8824%e6%97%a5%e7%81%ab%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
2026-03-24,火,晴れ,双子周辺19℃/アシカ周辺19.9℃,19.45,1.5m,1.5,明日悪天候の為休船します。,双子の子,1fb02d1b,グレ2匹38cm〜41.7cm,グレ,2,38.0,41.7,フカセ,オキアミ,https://www.taniguchitosen.com/archives/ub1ruabwlwjavtrmzdbu/3%e6%9c%8824%e6%97%a5%e7%81%ab%e7%a3%af%e9%87%a3%e3%82%8a%e4%be%bf%e2%98%86?easys_page_id=9&easys_block_id=nsazd3axzm5hro8srr8n
